Player,Nation,Pos,Squad,Comp,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Press,Pass Types_Sw,Pass Types_Crs,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Height_Ground,Height_Low,Height_High,Body Parts_Left,Body Parts_Right,Body Parts_Head,Body Parts_TI,Body Parts_Other,Outcomes_Cmp,Outcomes_Off,Outcomes_Out,Outcomes_Int,Outcomes_Blocks,SCA_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_Drib,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_Drib,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,GCA Types_OG,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Vs Dribbles_Tkl,Vs Dribbles_Att,Vs Dribbles_Tkl%,Vs Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def 3rd,Pressures_Mid 3rd,Pressures_Att 3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Int,Tkl+Int,Clr,Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_#Pl,Dribbles_Megs,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_Prog,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Targ,Receiving_Rec,Receiving_Rec%,Receiving_Prog,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Ismael Aaneba,fr FRA,"FW,DF",Strasbourg,fr Ligue 1,21-262,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2,2,100.0,57,15,0,0,,1,1,100.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,2,0,0.0,1,1,0,0,0,0,0,0,0,2,0,4,2,4,1,0,0,4,0,0,,0,0,2,10,4,0,0,0,0,0,3,1,33.3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,30-170,12.7,0,15,5,33.3,1.18,0.39,0.00,0.00,20.6,3,0,0,0.8,0.8,0.05,-0.8,-0.8,613,769,79.7,10191,4730,321,365,87.9,225,277,81.2,55,103,53.4,1,0.8,+0.2,11,47,21,4,79,660,109,18,2,59,13,27,2,0,2,0,504,144,121,519,137,16,89,3,613,9,14,18,18,22,19,2,1,0,0,0,2,2,0,0,0,0,0,0,20,12,14,5,1,9,20,45.0,11,109,35,32.1,69,26,14,17,2,0,15,23,43,23,1,891,38,253,430,259,29,780,4,13,30.8,4,0,517,2526,1383,91,26,6,7,8,597,554,92.8,38,1,0,0,10,4,3,27,23,12,0,0,0,125,8,10,44.4
Issah Abbas,gh GHA,"DF,FW",Mainz 05,de Bundesliga,22-142,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,13,15,86.7,260,106,6,7,85.7,5,6,83.3,2,2,100.0,0,0.0,0.0,0,1,0,0,1,12,3,0,0,0,0,0,0,0,0,0,10,4,1,0,12,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,0.0,0,1,2,0,0,0,0,0,0,0,0,18,0,5,6,8,1,15,1,2,50.0,2,0,11,47,40,2,1,0,0,1,12,11,91.7,2,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,
Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33-140,23.0,2,9,4,44.4,0.39,0.17,0.22,0.50,8.9,0,0,0,1.3,1.3,0.14,+0.7,+0.7,1070,1219,87.8,24209,8168,229,256,89.5,631,678,93.1,202,272,74.3,0,0.2,-0.2,2,52,1,0,65,1181,38,38,0,113,30,0,0,0,0,0,966,88,165,793,344,44,0,3,1070,3,23,13,6,7,6,0,0,1,0,0,0,0,0,0,0,0,0,0,50,31,36,14,0,12,30,40.0,18,242,94,38.8,163,73,6,37,13,1,24,31,81,118,0,1470,194,819,722,26,14,1434,5,9,55.6,5,1,933,5016,2714,42,3,0,5,12,988,962,97.4,5,2,0,0,23,16,0,0,31,31,0,0,0,217,62,38,62.0
Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,28-193,14.7,0,20,0,0.0,1.36,0.00,0.00,,22.9,1,0,0,1.0,1.0,0.05,-1.0,-1.0,614,723,84.9,12127,2955,247,263,93.9,249,283,88.0,102,153,66.7,0,0.8,-0.8,12,60,7,4,43,676,47,30,1,83,33,21,14,7,4,3,543,69,111,100,587,19,3,4,614,5,15,10,7,28,18,4,2,0,2,2,1,1,0,0,0,0,0,0,37,24,16,18,3,11,25,44.0,14,245,85,34.7,75,133,37,18,2,0,16,23,60,14,1,869,26,222,550,174,13,825,23,32,71.9,23,0,595,3510,1695,60,22,2,6,18,628,565,90.0,14,5,0,0,30,22,1,21,23,24,0,0,0,146,12,19,38.7
Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28-014,19.6,2,15,6,40.0,0.76,0.31,0.13,0.33,28.6,0,0,0,0.4,0.4,0.03,+1.6,+1.6,758,913,83.0,14386,3854,309,356,86.8,335,362,92.5,101,162,62.3,1,0.8,+0.2,7,60,5,2,49,884,29,23,1,162,25,9,1,1,0,0,661,117,135,79,792,28,5,5,758,2,18,27,16,23,15,1,0,1,2,4,4,2,0,0,0,1,1,0,103,66,41,52,10,31,100,31.0,69,540,156,28.9,186,301,53,22,4,0,18,25,128,7,0,1127,24,347,684,164,9,1103,9,16,56.3,9,0,769,3240,1686,57,13,1,19,26,798,733,91.9,19,3,0,0,24,27,0,9,25,66,1,0,0,191,5,11,31.3
Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,20-309,4.9,2,8,3,37.5,1.63,0.61,0.25,0.67,12.0,0,0,0,1.1,1.1,0.13,+0.9,+0.9,51,85,60.0,735,139,28,44,63.6,15,20,75.0,3,6,50.0,0,0.1,-0.1,2,3,3,0,6,77,8,0,0,29,1,1,0,0,0,0,50,17,18,51,12,8,0,2,51,0,3,0,7,4,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,2,7,28.6,5,88,25,28.4,5,44,39,5,0,0,5,1,3,4,0,137,4,14,69,58,18,129,7,11,63.6,7,0,72,257,107,6,3,2,15,7,214,99,46.3,24,1,0,0,9,6,4,1,1,1,0,0,0,14,20,29,40.8
Pape Abou Cisse,sn SEN,DF,Saint-Étienne,fr Ligue 1,25-154,3.0,0,3,2,66.7,1.00,0.67,0.00,0.00,12.7,0,0,0,0.2,0.2,0.07,-0.2,-0.2,80,95,84.2,1969,716,16,16,100.0,41,45,91.1,22,33,66.7,0,0.0,0.0,0,4,0,0,1,91,4,3,0,12,6,0,0,0,0,0,67,8,20,27,63,2,1,0,80,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,50.0,1,5,0,0.0,4,1,0,5,0,0,5,6,7,28,0,135,19,94,44,3,3,131,0,0,,0,0,71,382,222,2,0,0,0,0,76,76,100.0,0,1,0,0,3,3,0,0,6,1,0,0,0,15,14,2,87.5
David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,34-215,13.6,1,9,2,22.2,0.66,0.15,0.11,0.50,16.0,0,0,0,0.7,0.7,0.07,+0.3,+0.3,564,688,82.0,12077,4254,177,204,86.8,277,310,89.4,106,160,66.3,0,0.5,-0.5,2,50,3,2,43,631,57,17,1,75,23,8,0,0,0,0,433,93,162,68,499,54,40,1,564,3,7,5,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,10,5,2,8,20,40.0,12,144,64,44.4,81,47,16,26,5,1,21,15,32,34,0,793,55,322,422,100,8,738,3,6,50.0,4,0,435,2311,1263,44,9,0,3,0,474,455,96.0,8,5,1,1,11,8,1,8,15,13,0,0,0,174,39,26,60.0
Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,23-136,10.6,6,30,13,43.3,2.82,1.22,0.20,0.46,10.0,0,0,0,5.5,5.5,0.18,+0.5,+0.5,138,201,68.7,1925,327,84,108,77.8,36,58,62.1,9,15,60.0,1,0.9,+0.1,8,12,2,0,11,192,9,2,0,69,1,3,0,0,0,0,125,52,24,17,135,16,0,11,138,0,3,3,12,18,11,0,1,3,3,0,2,1,0,0,0,1,0,0,6,3,2,3,1,0,4,0.0,4,139,32,23.0,11,60,68,9,2,0,7,2,8,15,0,325,19,37,152,152,59,317,6,18,33.3,6,2,167,647,241,11,5,3,26,10,449,233,51.9,88,0,0,0,20,12,4,3,2,3,1,0,0,43,36,25,59.0
Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,30-325,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,18,22,81.8,295,27,7,9,77.8,9,10,90.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0,22,0,0,0,9,0,0,0,0,0,0,19,2,1,1,20,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,1,100.0,0,13,1,7.7,6,6,1,3,1,0,2,2,4,0,0,31,3,11,14,7,0,31,0,0,,0,0,14,53,29,0,0,0,0,2,21,17,81.0,0,0,0,0,4,0,0,0,2,1,0,0,0,6,1,2,33.3
Gennaro Acampora,it ITA,"MF,FW",Spezia,it Serie A,26-323,3.3,0,5,0,0.0,1.51,0.00,0.00,,24.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,106,132,80.3,2157,310,37,43,86.0,47,59,79.7,20,25,80.0,0,0.0,0.0,1,7,1,1,10,130,2,1,0,23,5,7,1,0,0,0,111,5,16,116,13,2,0,1,106,2,6,2,3,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,7,5,0,6,1,2,3,66.7,1,62,13,21.0,3,42,17,4,1,0,3,2,9,1,0,169,2,14,104,71,4,167,1,5,20.0,2,0,131,877,405,19,12,0,2,8,159,132,83.0,10,1,0,0,5,10,1,7,2,5,0,0,0,21,0,4,0.0
Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33-005,18.3,0,4,0,0.0,0.22,0.00,0.00,,9.9,0,0,0,0.5,0.5,0.12,-0.5,-0.5,921,1053,87.5,19851,5224,276,302,91.4,457,485,94.2,174,241,72.2,1,0.4,+0.6,5,71,9,5,55,996,57,30,0,110,40,18,0,0,0,0,747,110,196,794,179,45,11,3,921,2,19,9,10,13,12,0,0,0,0,1,3,3,0,0,0,0,0,0,38,30,23,12,3,7,25,28.0,18,209,94,45.0,122,69,18,33,9,0,24,37,75,87,0,1258,194,659,606,92,6,1203,4,5,80.0,4,0,745,4855,2486,60,13,0,6,4,800,781,97.6,10,3,0,0,16,12,2,18,37,30,0,0,0,217,37,9,80.4
Ragnar Ache,de GER,FW,Eint Frankfurt,de Bundesliga,22-202,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,6,12,50.0,61,0,3,6,50.0,2,4,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,12,0,0,0,6,0,0,0,0,0,0,5,4,3,1,5,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,14,2,14.3,0,9,5,2,0,0,2,0,0,1,0,17,1,2,10,6,3,17,0,0,,0,0,6,23,15,1,1,0,1,1,19,11,57.9,2,0,0,0,1,1,0,0,0,0,0,0,0,3,6,1,85.7
Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29-110,14.7,0,11,1,9.1,0.75,0.07,0.00,0.00,20.9,0,0,0,0.8,0.8,0.07,-0.8,-0.8,798,989,80.7,15535,6404,309,342,90.4,374,426,87.8,105,194,54.1,0,1.3,-1.3,16,62,19,9,66,852,137,15,1,97,28,36,7,1,4,0,572,172,245,714,122,28,115,2,798,1,20,18,28,30,21,3,3,2,0,1,2,1,0,0,1,0,0,0,33,23,19,10,4,11,20,55.0,9,172,57,33.1,75,67,30,25,2,0,23,15,48,17,0,1124,48,390,517,264,20,989,24,36,66.7,25,4,722,3021,1841,67,17,6,19,14,804,752,93.5,39,1,0,0,25,10,1,36,15,23,0,1,0,137,11,16,40.7
Che Adams,eng ENG,FW,Southampton,eng Premier League,24-217,19.3,4,38,17,44.7,1.97,0.88,0.11,0.24,13.6,0,0,0,5.1,5.1,0.13,-1.1,-1.1,289,417,69.3,4747,1079,148,197,75.1,94,122,77.0,32,45,71.1,4,4.3,-0.3,22,20,12,0,38,409,8,1,6,110,8,5,0,0,0,0,259,83,75,27,334,22,0,17,289,4,8,16,24,40,29,0,1,4,6,0,6,5,0,0,0,1,0,0,22,11,4,11,7,3,15,20.0,12,247,85,34.4,32,87,128,15,2,0,13,5,27,12,0,638,14,59,283,326,69,631,17,30,56.7,19,0,404,1548,667,40,15,4,54,31,993,493,49.6,148,1,0,0,17,34,14,5,5,11,0,0,0,74,25,90,21.7
Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,22-001,12.7,1,4,2,50.0,0.31,0.16,0.25,0.50,14.5,0,0,0,0.5,0.5,0.13,+0.5,+0.5,628,743,84.5,10155,3109,317,351,90.3,249,284,87.7,49,81,60.5,0,0.4,-0.4,7,40,5,0,52,683,60,13,0,103,3,7,0,0,0,0,531,111,101,80,567,31,47,4,628,1,4,20,15,14,12,0,0,0,2,0,0,0,0,0,0,0,0,0,28,17,6,19,3,5,17,29.4,12,220,70,31.8,57,129,34,21,4,0,17,19,47,27,0,887,34,244,544,165,10,830,15,16,93.8,15,0,566,2790,1461,61,22,3,13,21,641,576,89.9,24,3,0,0,20,18,0,7,19,17,0,0,0,134,15,10,60.0
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,27-268,1.7,1,10,4,40.0,5.84,2.34,0.10,0.25,11.8,0,0,0,1.1,1.1,0.11,-0.1,-0.1,28,45,62.2,394,91,20,29,69.0,5,7,71.4,3,4,75.0,2,0.4,+1.6,4,1,3,1,3,44,1,0,0,9,0,2,0,0,0,0,22,14,9,6,31,7,0,0,28,0,1,3,5,7,5,0,0,1,1,0,2,1,0,0,1,0,0,0,1,1,0,1,0,0,3,0.0,3,23,5,21.7,4,9,10,3,0,0,3,3,4,0,0,82,0,7,24,56,21,81,1,5,20.0,2,1,52,274,126,5,4,1,13,2,94,65,69.1,27,0,0,0,3,4,1,2,3,1,0,0,0,8,3,3,50.0
Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,23-144,19.0,0,13,2,15.4,0.68,0.11,0.00,0.00,8.9,0,0,0,0.8,0.8,0.06,-0.8,-0.8,779,905,86.1,18458,6406,151,167,90.4,433,468,92.5,189,258,73.3,0,0.1,-0.1,3,39,2,0,36,873,32,28,1,89,23,3,0,0,0,0,682,65,158,135,699,47,4,2,779,1,18,7,8,9,9,0,0,0,0,0,1,1,0,0,0,0,0,0,24,17,19,5,0,11,20,55.0,9,106,32,30.2,74,29,3,22,13,0,9,27,51,129,1,1117,225,652,469,44,22,1085,4,4,100.0,4,0,625,2604,1422,25,4,0,2,7,730,704,96.4,3,1,0,0,9,4,1,3,27,17,0,0,0,172,46,26,63.9
Bobby Adekanye,nl NED,"FW,MF",Cádiz,es La Liga,22-001,0.4,0,1,0,0.0,2.50,0.00,0.00,,17.5,0,0,0,0.2,0.2,0.17,-0.2,-0.2,7,10,70.0,99,1,3,3,100.0,3,4,75.0,0,2,0.0,0,0.0,0.0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,7,1,2,9,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,5,1,20.0,1,0,4,1,0,0,1,0,0,0,0,18,1,2,8,11,4,18,1,2,50.0,2,0,15,88,61,3,2,1,4,0,14,12,85.7,4,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,
Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20-201,15.2,1,11,3,27.3,0.72,0.20,0.09,0.33,21.3,0,0,0,0.5,0.5,0.04,+0.5,+0.5,730,868,84.1,14328,3541,281,314,89.5,310,356,87.1,121,164,73.8,4,2.9,+1.1,32,74,10,2,73,831,37,21,3,118,33,20,14,5,4,2,690,84,94,79,760,16,2,2,730,5,11,17,16,54,40,6,3,0,3,2,7,6,1,0,0,0,0,0,53,38,24,22,7,15,46,32.6,31,370,108,29.2,116,188,66,26,3,0,23,22,75,9,1,1044,25,235,667,209,12,1010,36,49,73.5,37,2,744,3687,2081,91,24,5,17,27,829,763,92.0,22,4,0,0,18,23,0,20,22,38,0,0,0,116,15,13,53.6
Andrea Adorante,it ITA,FW,Parma,it Serie A,21-010,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,1,33.3,0,1,2,0,0,0,0,0,0,0,0,2,0,1,2,0,0,2,0,1,0.0,0,0,2,0,0,0,0,0,0,1,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Adrián,es ESP,GK,Liverpool,eng Premier League,34-043,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,43,62,69.4,1147,723,12,12,100.0,18,19,94.7,11,29,37.9,0,0.0,0.0,0,0,0,0,0,45,17,3,0,6,1,0,0,0,0,0,32,4,26,9,38,0,0,14,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,69,64,69,0,0,0,52,0,0,,0,0,29,110,65,0,0,0,0,0,28,27,96.4,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,
Martin Agirregabiria,es ESP,"DF,MF",Alavés,es La Liga,24-281,8.1,0,2,0,0.0,0.25,0.00,0.00,,14.3,0,0,0,0.2,0.2,0.10,-0.2,-0.2,206,291,70.8,3965,1925,93,112,83.0,81,113,71.7,27,51,52.9,1,0.8,+0.2,8,19,10,6,21,228,63,12,1,31,9,13,0,0,0,0,149,67,75,23,187,22,51,1,206,2,8,9,9,14,10,3,0,0,0,1,2,2,0,0,0,0,0,0,12,6,5,5,2,2,11,18.2,9,96,27,28.1,38,45,13,15,2,1,13,19,31,13,1,362,23,124,191,70,6,300,2,4,50.0,2,0,181,879,493,19,5,2,6,5,243,189,77.8,12,1,0,0,10,11,1,13,19,6,0,0,0,44,8,15,34.8
Lucien Agoume,fr FRA,MF,Spezia,it Serie A,19-006,7.8,0,2,0,0.0,0.26,0.00,0.00,,20.5,0,0,0,0.0,0.0,0.02,0.0,0.0,371,418,88.8,7722,1644,121,129,93.8,175,192,91.1,67,85,78.8,0,0.1,-0.1,2,32,3,0,32,406,12,11,1,59,19,0,0,0,0,0,309,38,71,68,322,18,1,2,371,3,5,8,1,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,12,10,7,5,0,2,10,20.0,8,132,38,28.8,45,77,10,15,4,0,11,14,26,14,0,482,28,147,300,59,1,472,3,5,60.0,3,0,306,1390,471,14,2,1,2,7,334,312,93.4,7,2,0,0,15,7,0,0,14,10,0,0,0,91,9,6,60.0
Felix Agu,de GER,"DF,FW",Werder Bremen,de Bundesliga,21-141,4.1,1,4,1,25.0,0.99,0.25,0.25,1.00,19.7,0,0,0,0.6,0.6,0.14,+0.4,+0.4,107,150,71.3,1749,563,55,61,90.2,40,56,71.4,8,20,40.0,0,0.2,-0.2,1,3,2,2,5,113,37,1,0,25,1,8,0,0,0,0,84,27,39,26,80,5,36,0,107,0,2,7,6,3,2,0,0,0,1,0,1,1,0,0,0,0,0,0,15,8,6,8,1,8,15,53.3,7,84,22,26.2,38,31,15,5,1,0,4,10,25,9,0,215,6,77,90,56,5,179,1,6,16.7,1,0,114,423,247,7,3,0,7,5,129,98,76.0,13,0,0,0,4,13,0,8,10,8,0,0,0,35,4,8,33.3
Kevin Agudelo,co COL,FW,Spezia,it Serie A,22-093,9.4,1,14,4,28.6,1.49,0.43,0.07,0.25,17.6,0,0,0,1.8,1.8,0.13,-0.8,-0.8,162,222,73.0,2970,618,77,89,86.5,57,78,73.1,23,37,62.2,0,0.4,-0.4,5,14,8,0,18,216,6,0,0,65,8,3,2,0,0,0,156,37,29,183,23,2,1,1,162,1,8,5,15,21,9,1,3,3,3,2,2,1,0,0,1,0,0,0,32,19,8,17,7,7,21,33.3,14,234,71,30.3,43,101,90,14,0,0,14,3,35,3,0,374,3,41,193,187,41,368,30,48,62.5,32,2,281,1912,1186,54,25,13,25,22,384,253,65.9,58,2,0,0,15,18,2,3,3,19,0,0,0,47,15,22,40.5
Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24-322,22.0,3,23,5,21.7,1.05,0.23,0.13,0.60,9.4,0,0,0,2.1,2.1,0.09,+0.9,+0.9,1510,1668,90.5,30977,11377,524,553,94.8,706,747,94.5,258,342,75.4,1,0.9,+0.1,4,87,0,0,89,1618,50,49,1,99,47,0,0,0,0,0,1384,107,177,1393,170,56,1,5,1510,0,15,9,5,10,9,0,0,1,0,0,1,1,0,0,0,0,0,0,38,28,28,10,0,13,22,59.1,9,143,59,41.3,87,52,4,21,14,0,7,19,57,92,1,1873,172,818,1118,46,26,1825,4,7,57.1,5,0,1282,6008,3399,80,9,0,2,8,1420,1404,98.9,4,2,0,0,11,22,2,0,19,28,0,0,0,230,83,32,72.2
Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,32-258,1.6,0,4,1,25.0,2.52,0.63,0.00,0.00,8.4,0,0,0,0.6,0.6,0.16,-0.6,-0.6,33,42,78.6,386,58,19,23,82.6,5,6,83.3,2,2,100.0,0,0.6,-0.6,3,2,1,0,1,39,3,0,0,5,1,1,0,0,0,0,31,7,4,5,33,2,0,1,33,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,19,4,21.1,4,3,12,3,0,0,3,0,0,1,0,60,0,4,20,37,15,57,0,2,0.0,1,1,27,133,83,5,1,1,3,1,67,47,70.1,16,0,0,0,0,2,0,1,0,0,0,0,0,4,2,3,40.0
Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,27-295,18.4,1,5,2,40.0,0.27,0.11,0.20,0.50,9.5,0,0,0,0.4,0.4,0.08,+0.6,+0.6,1065,1278,83.3,18509,5889,506,545,92.8,436,517,84.3,102,178,57.3,2,3.4,-1.4,35,68,29,16,74,1079,199,28,2,81,41,82,11,3,7,0,789,212,277,20,1024,46,160,5,1065,5,9,13,18,58,47,5,1,1,4,0,6,4,0,1,0,1,0,0,63,35,28,23,12,28,45,62.2,17,299,114,38.1,111,122,66,23,2,0,21,25,88,47,1,1504,41,336,744,510,39,1314,21,36,58.3,23,2,910,4660,2851,137,39,3,19,21,1076,931,86.5,87,6,0,0,32,28,1,82,25,35,1,0,0,203,40,29,58.0
Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18-323,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,18,22,81.8,311,80,8,10,80.0,9,9,100.0,1,2,50.0,0,0.0,0.0,1,3,0,0,1,22,0,0,0,9,0,1,0,0,0,0,17,3,2,2,19,1,0,0,18,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,0.0,1,1,1,0,0,0,0,1,1,1,0,24,2,11,14,4,1,24,2,2,100.0,2,0,19,175,72,3,0,1,0,0,18,17,94.4,2,0,0,0,0,1,0,1,1,0,0,0,0,5,0,0,
Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21-228,8.6,2,8,5,62.5,0.93,0.58,0.25,0.40,22.3,0,0,0,1.4,1.4,0.18,+0.6,+0.6,219,282,77.7,4216,726,86,99,86.9,100,124,80.6,30,43,69.8,0,0.1,-0.1,3,13,2,0,11,276,6,6,0,22,8,4,0,0,0,0,229,21,32,218,47,12,0,2,219,1,13,8,11,8,3,2,0,0,2,1,0,0,0,0,0,0,0,0,23,15,12,9,2,5,32,15.6,27,201,44,21.9,65,107,29,12,2,0,10,4,27,9,0,393,13,97,255,82,12,387,15,19,78.9,16,0,292,1758,1034,33,9,2,18,16,315,268,85.1,19,0,0,0,13,13,1,4,4,15,0,1,0,58,4,9,30.8
Cheikh Ahmadou Dieng,sn SEN,FW,Marseille,fr Ligue 1,20-329,0.1,0,0,0,,0.00,0.00,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,,,0,,,,
Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26-332,14.2,2,21,5,23.8,1.48,0.35,0.10,0.40,20.1,0,0,0,1.5,1.2,0.06,+0.5,+0.8,401,478,83.9,7038,1579,179,204,87.7,163,188,86.7,46,64,71.9,2,0.5,+1.5,4,40,3,0,27,472,6,4,0,58,6,4,1,1,0,0,359,62,57,354,88,21,1,1,401,2,6,9,11,14,11,0,0,2,0,1,3,1,0,0,1,0,1,0,32,17,13,18,1,4,21,19.0,17,198,61,30.8,67,112,19,14,4,0,10,31,63,20,1,628,26,139,406,117,17,624,9,13,69.2,11,1,394,1683,844,33,13,0,13,16,446,391,87.7,16,6,0,0,33,18,0,4,31,17,0,0,0,131,21,15,58.3
Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25-139,8.1,0,4,0,0.0,0.49,0.00,0.00,,18.0,0,0,0,0.5,0.5,0.13,-0.5,-0.5,313,374,83.7,7010,2260,75,85,88.2,175,196,89.3,62,82,75.6,0,0.6,-0.6,2,26,2,0,28,365,9,8,2,45,5,1,0,0,0,0,271,43,60,53,279,25,1,4,313,3,8,4,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,12,4,1,5,12,41.7,7,99,35,35.4,54,44,1,14,2,0,12,9,26,58,0,478,73,297,188,12,5,470,3,4,75.0,4,1,287,1701,873,20,2,1,2,3,273,272,99.6,1,1,0,0,9,9,1,1,9,10,0,0,0,94,25,21,54.3
