Player,Nation,Pos,Squad,Comp,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Press,Pass Types_Sw,Pass Types_Crs,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Height_Ground,Height_Low,Height_High,Body Parts_Left,Body Parts_Right,Body Parts_Head,Body Parts_TI,Body Parts_Other,Outcomes_Cmp,Outcomes_Off,Outcomes_Out,Outcomes_Int,Outcomes_Blocks,SCA_SCA,SCA Types_PassLive,SCA Types_PassDead,SCA Types_Drib,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA Types_PassLive,GCA Types_PassDead,GCA Types_Drib,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,GCA Types_OG,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Vs Dribbles_Tkl,Vs Dribbles_Att,Vs Dribbles_Tkl%,Vs Dribbles_Past,Pressures_Press,Pressures_Succ,Pressures_%,Pressures_Def 3rd,Pressures_Mid 3rd,Pressures_Att 3rd,Blocks_Blocks,Blocks_Sh,Blocks_ShSv,Blocks_Pass,Int,Tkl+Int,Clr,Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_#Pl,Dribbles_Megs,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_Prog,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Targ,Receiving_Rec,Receiving_Rec%,Receiving_Prog,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Ander Guevara,es ESP,MF,Real Sociedad,es La Liga,23-223,12.4,0,3,0,0.0,0.24,0.00,0.00,,27.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,656,793,82.7,12957,3074,260,296,87.8,288,342,84.2,98,126,77.8,0,0.3,-0.3,5,61,8,0,67,775,18,15,2,114,16,2,1,0,0,1,588,94,111,136,602,38,2,4,656,3,15,21,13,10,10,0,0,0,0,0,1,1,0,0,0,0,0,0,24,18,11,11,2,8,18,44.4,10,173,50,28.9,50,99,24,21,4,0,17,7,31,23,1,895,44,227,591,135,4,878,5,5,100.0,5,0,594,3258,1776,65,12,1,4,13,641,615,95.9,20,3,0,0,15,9,1,2,7,18,0,0,0,174,16,15,51.6
Lamine Gueye,sn SEN,"FW,MF",Metz,fr Ligue 1,22-339,10.0,1,31,10,32.3,3.09,1.00,0.03,0.10,17.0,0,0,0,3.1,3.1,0.10,-2.1,-2.1,211,292,72.3,3103,839,122,146,83.6,70,101,69.3,10,22,45.5,2,1.9,+0.1,9,8,4,2,15,282,10,2,0,57,5,16,4,2,2,0,197,38,57,28,230,11,4,2,211,1,8,7,15,23,13,2,1,5,2,0,3,2,0,0,1,0,0,0,19,13,10,7,2,7,19,36.8,12,120,34,28.3,32,45,43,16,2,0,14,4,23,4,0,444,9,76,200,202,52,435,13,25,52.0,15,0,297,1677,1022,46,14,9,27,25,495,317,64.0,77,1,0,0,9,21,4,16,4,13,0,0,0,65,19,24,44.2
Pape Gueye,fr FRA,MF,Marseille,fr Ligue 1,22-022,11.0,1,9,2,22.2,0.82,0.18,0.11,0.50,26.1,0,0,0,0.2,0.2,0.02,+0.8,+0.8,476,585,81.4,9483,2197,193,225,85.8,200,225,88.9,76,114,66.7,0,1.2,-1.2,4,47,6,1,44,573,12,10,2,82,20,2,0,0,0,0,411,54,120,458,67,38,2,1,476,1,14,10,12,11,10,0,0,0,1,0,1,1,0,0,0,0,0,0,25,15,10,12,3,6,24,25.0,18,155,51,32.9,48,93,14,24,3,0,21,19,44,11,1,710,18,165,493,89,4,699,3,8,37.5,3,0,451,2229,1037,33,8,1,7,8,551,501,90.9,20,7,1,1,27,21,1,2,19,15,0,0,0,106,22,25,46.8
John Guidetti,se SWE,FW,Alavés,es La Liga,28-306,0.7,0,1,0,0.0,1.38,0.00,0.00,,17.0,0,0,0,0.3,0.3,0.33,-0.3,-0.3,19,27,70.4,352,62,9,14,64.3,6,7,85.7,4,6,66.7,0,0.0,0.0,0,1,1,0,1,23,4,1,0,7,0,1,0,0,0,0,16,8,3,4,16,3,0,1,19,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,11,0,0.0,0,5,6,0,0,0,0,0,0,0,0,31,0,0,19,14,4,27,0,0,,0,0,13,45,9,1,0,0,2,0,44,23,52.3,3,0,0,0,2,0,1,1,0,0,0,0,0,4,3,1,75.0
Josuha Guilavogui,fr FRA,"MF,DF",Wolfsburg,de Bundesliga,30-149,6.4,0,3,0,0.0,0.47,0.00,0.00,,17.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,290,342,84.8,6178,1740,89,105,84.8,138,156,88.5,57,71,80.3,0,0.1,-0.1,3,34,2,0,23,337,5,4,0,38,13,1,0,0,0,0,228,54,60,32,275,21,1,1,290,2,4,8,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,9,6,2,4,10,40.0,6,80,25,31.3,33,41,6,11,6,1,5,16,33,29,0,410,39,145,233,43,2,405,3,3,100.0,3,0,211,850,344,9,2,0,1,3,258,238,92.2,7,2,0,0,13,2,0,1,16,10,0,0,0,91,19,7,73.1
Frederic Guilbert,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,26-053,1.0,0,2,0,0.0,2.00,0.00,0.00,,,,0,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,4,1,2,,,0,,,,
Hugo Guillamón,es ESP,DF,Valencia,es La Liga,21-015,11.5,1,5,1,20.0,0.44,0.09,0.20,1.00,7.7,0,0,0,0.4,0.4,0.08,+0.6,+0.6,501,562,89.1,12047,3725,103,114,90.4,272,286,95.1,123,158,77.8,0,0.0,0.0,0,38,1,0,36,530,32,30,0,71,27,0,0,0,0,0,426,44,92,117,414,14,2,0,501,1,11,4,3,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,12,5,7,5,0,3,9,33.3,6,83,19,22.9,48,34,1,20,11,0,9,4,16,69,3,684,112,375,334,17,6,656,1,3,33.3,1,0,420,2474,1398,42,3,0,6,1,441,435,98.6,0,6,0,0,18,17,1,0,4,5,0,1,1,108,31,22,58.5
Bruno Guimarães,br BRA,MF,Lyon,fr Ligue 1,23-091,12.7,1,18,9,50.0,1.42,0.71,0.06,0.11,22.5,0,0,0,0.6,0.6,0.04,+0.4,+0.4,839,936,89.6,16696,3214,328,357,91.9,377,413,91.3,126,152,82.9,1,0.7,+0.3,10,87,23,1,74,902,34,24,2,122,27,6,4,1,0,0,788,69,79,48,862,16,6,0,839,4,12,17,9,34,31,1,1,0,0,1,3,2,1,0,0,0,0,0,58,36,15,30,13,22,57,38.6,35,287,92,32.1,98,144,45,18,6,0,12,11,69,11,0,1080,33,197,704,290,18,1054,14,20,70.0,14,2,833,5167,2807,136,54,5,10,10,894,828,92.6,43,4,0,0,24,24,0,6,11,36,0,0,0,120,5,7,41.7
Sehrou Guirassy,fr FRA,FW,Rennes,fr Ligue 1,24-340,10.7,3,23,8,34.8,2.14,0.75,0.13,0.38,13.4,0,0,0,3.0,3.0,0.13,0.0,0.0,184,238,77.3,3222,429,96,115,83.5,51,64,79.7,28,33,84.8,1,2.1,-1.1,12,15,2,0,12,224,14,0,2,81,13,2,0,0,0,0,156,52,30,26,176,10,1,4,184,0,2,7,13,25,18,0,1,2,4,0,1,1,0,0,0,0,0,0,4,2,0,2,2,0,3,0.0,3,81,18,22.2,4,39,38,8,2,0,6,1,5,7,0,357,9,15,223,136,46,343,7,13,53.8,7,1,238,1102,363,24,7,3,27,21,469,291,62.0,93,1,0,0,21,29,2,2,1,2,0,0,0,27,28,23,54.9
Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,30-285,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,650,765,85.0,17151,9034,134,134,100.0,320,322,99.4,194,307,63.2,0,0.0,0.0,0,10,0,0,1,621,144,40,2,49,14,0,0,0,0,0,526,34,205,67,553,1,0,118,650,1,10,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,795,614,786,11,0,0,652,0,0,,0,0,490,1794,778,0,0,0,0,0,444,442,99.5,0,0,0,0,0,1,0,0,0,0,0,0,0,135,0,0,
