Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Press,Pass Types_Sw,Pass Types_Crs,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Height_Ground,Height_Low,Height_High,Body Parts_Left,Body Parts_Right,Body Parts_Head,Body Parts_TI,Body Parts_Other,Outcomes_Cmp,Outcomes_Off,Outcomes_Out,Outcomes_Int,Outcomes_Blocks,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_#Pl,Dribbles_Megs,Carries_Carries,Carries_TotDist,Carries_PrgDist,Receiving_Targ,Receiving_Rec,Receiving_Rec%,Miscon,Dispos,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_Drib,SCA Types_Sh,SCA Types_Fld,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_Drib,GCA Types_Sh,GCA Types_Fld,GCA Types_OG,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Playing Time_MP,Playing Time_Starts,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,xGChain,xGBuildup,xPassing%,shot_chain%,key_pass_chain%
Virgil van Dijk,nl NED,DF,Liverpool,28,1991,38.0,2791,3085,90.5,65378,18436,14,22,63.6,1736,1840,94.3,1041,1223,85.1,1,1.3,-0.3,7,228,9,0,156,3085,3000,85,74,8,322,131,0,0,0,0,0,2330,265,490,345,2476,152,11,6,2791,1,43,13,10,3465,340,1427,2086,108,49,3382,3,5,60.0,4,0,2321,9327,4883,2568,2514,97.9,2,2,22,0.58,19,0,0,1,2,5,0.13,4,0,0,0,1,0,5,30,14,46.7,0.79,0.37,0.17,0.36,0,0,0,2.8,2.8,0.09,2.2,2.2,38,38,5,1,0,0,1,0,0.13,0.03,0.16,0.13,0.16,1.3,0.07,0.03,0.11,0.07,0.11,15.3097048066556,14.6737149115652,0.8606618395552179,0.16063097869102427,0.02571012504040404
George Baldock,eng ENG,DF,Sheffield Utd,26,1993,38.0,1173,1552,75.6,18040,6534,35,111,31.5,1001,1139,87.9,137,302,45.4,3,2.5,0.5,27,61,45,28,168,1552,1249,303,7,1,271,25,128,1,1,0,0,765,372,415,51,1108,69,295,7,1173,4,32,17,87,1937,105,417,691,932,64,1641,43,67,64.2,46,0,1156,7492,3888,1250,1055,84.4,33,31,65,1.71,52,4,6,0,3,6,0.16,4,0,1,0,1,0,2,13,5,38.5,0.34,0.13,0.15,0.4,0,0,0,1.0,1.0,0.07,1.0,1.0,38,38,2,3,0,0,7,0,0.05,0.08,0.13,0.05,0.13,2.5,0.03,0.07,0.09,0.03,0.09,8.71819101646542,7.14782861247659,0.72182770152403,0.3596011302264357,0.09716368567855721
Harry Maguire,eng ENG,DF,Manchester Utd,26,1993,38.0,2127,2403,88.5,46936,11786,19,29,65.5,1389,1513,91.8,719,861,83.5,1,0.5,0.5,16,168,3,0,107,2403,2327,76,66,1,362,91,2,0,0,0,0,1787,268,348,320,1862,119,10,11,2127,5,45,21,11,2828,428,1430,1472,167,57,2756,10,13,76.9,10,0,1833,14285,8408,1959,1915,97.8,7,10,30,0.79,28,1,0,1,0,0,0.0,0,0,0,0,0,0,1,32,8,25.0,0.84,0.21,0.03,0.13,0,0,0,2.0,2.0,0.06,-1.0,-1.0,38,38,1,1,0,0,6,0,0.03,0.03,0.05,0.03,0.05,0.5,0.05,0.01,0.07,0.05,0.07,12.0299432044849,11.7148049054667,0.868659179653241,0.1929805874309769,0.043891673066701
James Ward-Prowse,eng ENG,MFDF,Southampton,24,1994,38.0,1458,1971,74.0,27741,8429,35,74,47.3,1094,1264,86.6,329,633,52.0,3,5.2,-2.2,61,134,34,5,224,1971,1609,362,87,6,286,98,265,182,82,74,19,1033,324,614,170,1534,152,53,10,1458,4,29,25,41,2399,124,452,1252,775,55,2022,15,21,71.4,16,1,1114,4224,1700,1362,1196,87.8,24,16,102,2.68,47,45,0,7,3,6,0.16,2,2,0,1,1,0,5,54,23,42.6,1.42,0.61,0.07,0.17,24,1,3,7.0,4.6,0.08,-2.0,-0.6,38,38,5,3,1,3,9,0,0.13,0.08,0.21,0.11,0.18,5.2,0.18,0.14,0.32,0.12,0.26,13.2922002198175,9.14625737443567,0.6654937336652389,0.41677293459892306,0.1411470381389329
James Tarkowski,eng ENG,DF,Burnley,26,1992,38.0,913,1250,73.0,21245,7310,11,30,36.7,550,672,81.8,352,548,64.2,2,2.1,-0.1,14,69,9,0,73,1250,1222,28,25,0,246,32,4,0,0,0,0,618,209,423,153,839,130,3,6,913,6,49,12,19,1813,313,959,797,111,72,1785,15,16,93.8,16,0,731,3509,1426,832,792,95.2,14,5,26,0.68,22,0,0,4,0,7,0.18,5,0,0,2,0,0,2,20,4,20.0,0.53,0.11,0.1,0.5,0,0,0,2.3,2.3,0.12,-0.3,-0.3,38,38,2,2,0,0,10,0,0.05,0.05,0.11,0.05,0.11,2.1,0.06,0.05,0.12,0.06,0.12,3.14472876675427,2.9917289186269,0.773323701315932,0.40648350142764245,0.0928835725961038
Declan Rice,eng ENG,MF,West Ham,20,1999,38.0,1476,1717,86.0,30017,7536,33,65,50.8,1040,1134,91.7,403,518,77.8,3,1.4,1.6,22,159,18,9,123,1717,1685,32,28,2,323,81,26,0,0,0,0,1192,236,289,300,1286,89,4,2,1476,3,36,21,26,2084,111,631,1306,305,29,2052,41,53,77.4,43,0,1366,9214,3924,1351,1267,93.8,19,28,45,1.18,41,0,2,2,0,7,0.18,5,0,0,2,0,0,1,30,9,30.0,0.79,0.24,0.03,0.11,0,0,0,1.1,1.1,0.04,-0.1,-0.1,38,38,1,3,0,0,6,0,0.03,0.08,0.11,0.03,0.11,1.4,0.03,0.04,0.07,0.03,0.07,8.69338352419436,7.6365680443123,0.808856836842057,0.23060609177471925,0.06270748255594627
Ben Foster,eng ENG,GK,Watford,36,1983,38.0,533,1201,44.4,24833,20210,1,1,100.0,126,129,97.7,406,1071,37.9,0,0.0,0.0,0,30,2,0,4,1201,734,467,174,0,96,56,0,0,0,0,0,174,56,971,793,162,0,1,122,533,13,36,7,3,1309,1057,1277,35,1,1,845,3,3,100.0,3,0,534,3603,2217,397,396,99.7,0,0,5,0.13,2,3,0,0,0,1,0.03,1,0,0,0,0,0,0,1,1,100.0,0.03,0.03,0.0,0.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,38,38,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58045467641205,1.54374810215086,0.288264501732379,0.8042144563518082,0.1861668147209494
Jonny Evans,nir NIR,DF,Leicester City,31,1988,37.6,2088,2372,88.0,47140,13760,6,14,42.9,1357,1461,92.9,725,897,80.8,1,0.6,0.4,7,144,5,1,126,2372,2285,87,72,2,305,60,8,0,0,0,0,1764,219,389,590,1585,117,15,5,2088,2,44,12,12,2810,399,1484,1373,104,39,2732,9,10,90.0,9,0,1775,9493,5297,1905,1871,98.2,6,7,22,0.59,17,0,1,3,1,4,0.11,3,0,0,0,1,0,1,24,10,41.7,0.64,0.27,0.04,0.1,0,0,0,2.6,2.6,0.11,-1.6,-1.6,38,38,1,1,0,0,8,1,0.03,0.03,0.05,0.03,0.05,0.6,0.07,0.01,0.08,0.07,0.08,10.9394714571536,10.734535921365,0.848594656018155,0.19588710884599392,0.03486820691941922
Enda Stevens,ie IRL,DF,Sheffield Utd,29,1990,37.2,1406,1897,74.1,24265,9846,17,99,17.2,1148,1346,85.3,241,452,53.3,4,4.5,-0.5,33,105,51,10,248,1897,1574,323,7,1,352,28,121,0,0,0,0,1023,425,449,1353,136,70,316,2,1406,6,32,38,89,2300,93,522,983,927,82,1980,61,86,70.9,63,6,1445,8133,4616,1477,1351,91.5,39,56,67,1.8,54,6,4,3,0,9,0.24,8,0,1,0,0,0,2,22,4,18.2,0.59,0.11,0.09,0.5,0,0,0,1.2,1.2,0.05,0.8,0.8,38,38,2,4,0,0,7,0,0.05,0.11,0.16,0.05,0.16,4.5,0.03,0.12,0.15,0.03,0.15,13.6097446689382,10.1049867784604,0.71999537094945,0.38268109393235283,0.10732337033990916
Dwight McNeil,eng ENG,MF,Burnley,19,1999,37.1,874,1277,68.4,16969,5382,16,87,18.4,648,780,83.1,210,410,51.2,6,6.7,-0.7,55,92,42,29,147,1277,1151,126,56,4,296,109,256,60,52,4,2,741,158,378,1146,51,45,9,4,874,9,26,24,73,1700,50,292,858,748,51,1575,80,135,59.3,84,6,1277,11290,5735,1236,1037,83.9,39,81,103,2.78,61,22,7,6,7,14,0.38,9,2,1,1,1,0,2,48,14,29.2,1.29,0.38,0.04,0.14,10,0,0,2.2,2.2,0.05,-0.2,-0.2,38,38,2,6,0,0,5,0,0.05,0.16,0.22,0.05,0.22,6.7,0.06,0.18,0.24,0.06,0.24,10.701588159427,3.7912630867213,0.646139658655096,0.49284871190013624,0.15781384638130885
Wilfried Zaha,ci CIV,MFFW,Crystal Palace,26,1992,36.4,935,1188,78.7,15092,4216,22,83,26.5,774,915,84.6,139,190,73.2,3,3.3,-0.3,36,60,75,14,167,1188,1158,30,1,2,313,30,67,0,0,0,0,939,152,97,152,985,12,25,3,935,2,12,34,72,1859,9,193,868,996,226,1831,162,262,61.8,172,7,1716,13591,8969,1956,1459,74.6,123,172,105,2.88,62,0,22,5,15,8,0.22,4,0,0,1,2,1,4,61,17,27.9,1.67,0.47,0.07,0.24,0,0,0,5.3,5.3,0.09,-1.3,-1.3,38,37,4,3,0,0,5,0,0.11,0.08,0.19,0.11,0.19,3.3,0.15,0.09,0.24,0.15,0.24,11.8298113960773,4.58950950950384,0.75045659183015,0.3809830872517348,0.10486675434543291
Max Aarons,eng ENG,DF,Norwich City,19,2000,36.0,1316,1684,78.1,20283,6833,32,96,33.3,1135,1315,86.3,149,273,54.6,1,3.4,-2.4,24,44,32,13,123,1684,1356,328,27,1,290,10,72,0,0,0,0,1018,391,275,219,1102,45,301,2,1316,0,33,22,70,2133,178,803,903,594,52,1821,49,94,52.1,55,2,1321,9483,5431,1399,1244,88.9,39,48,54,1.5,42,2,3,3,4,3,0.08,1,1,0,0,1,0,0,14,4,28.6,0.39,0.11,0.0,0.0,0,0,0,0.5,0.5,0.03,-0.5,-0.5,36,36,0,1,0,0,7,0,0.0,0.03,0.03,0.0,0.03,3.4,0.01,0.09,0.11,0.01,0.11,10.0550056435168,7.37826374731958,0.763286147388226,0.32187590075610295,0.0855117481270139
Raúl Jiménez,mx MEX,FW,Wolves,28,1991,36.0,732,1009,72.5,11843,2719,30,99,30.3,575,710,81.0,127,200,63.5,6,5.5,0.5,42,63,24,4,85,1009,970,39,3,7,300,37,23,1,1,0,0,514,297,198,61,798,46,12,45,732,3,20,27,50,1489,37,125,785,668,199,1448,75,110,68.2,76,4,1050,6590,3674,1839,1150,62.5,97,88,83,2.31,57,0,13,8,5,12,0.33,7,0,2,1,2,0,17,114,39,34.2,3.17,1.08,0.11,0.33,0,4,4,14.5,11.5,0.1,2.5,1.5,38,37,17,6,4,4,3,0,0.47,0.17,0.64,0.36,0.53,5.5,0.4,0.15,0.56,0.32,0.47,22.5602395180613,5.70953263994306,0.754166021857483,0.5465894168096145,0.14084055083592117
Jack Grealish,eng ENG,FWMF,Aston Villa,23,1995,35.9,1217,1538,79.1,23156,6405,32,85,37.6,917,1046,87.7,268,407,65.8,6,6.9,-0.9,92,95,79,6,223,1538,1335,203,74,5,345,83,140,78,48,6,9,1071,214,253,103,1363,20,30,7,1217,5,24,27,50,2029,44,337,912,1046,140,1857,71,120,59.2,76,5,1582,15461,9105,1776,1467,82.6,62,78,184,5.12,130,22,11,2,19,15,0.42,11,1,2,0,1,0,8,72,22,30.6,2.0,0.61,0.11,0.36,1,0,1,6.4,5.6,0.08,1.6,2.4,36,36,8,6,0,1,8,0,0.22,0.17,0.39,0.22,0.39,6.9,0.18,0.19,0.37,0.16,0.35,18.3736416697502,9.30453656613827,0.704613750288392,0.36760193186968015,0.16941266124366974
Lewis Dunk,eng ENG,DF,Brighton,27,1991,35.9,1913,2192,87.3,45038,13465,11,22,50.0,1215,1293,94.0,687,877,78.3,3,1.1,1.9,11,129,5,0,97,2192,2094,98,66,1,262,116,1,0,0,0,0,1529,264,399,137,1858,106,32,19,1913,7,51,22,9,2547,436,1559,1029,107,43,2448,3,7,42.9,3,0,1596,8765,4727,1737,1712,98.6,7,10,25,0.7,23,2,0,0,0,3,0.08,3,0,0,0,0,0,3,30,10,33.3,0.84,0.28,0.1,0.3,5,0,0,4.2,4.2,0.14,-1.2,-1.2,36,36,3,3,0,0,9,0,0.08,0.08,0.17,0.08,0.17,1.1,0.12,0.03,0.15,0.12,0.15,8.55332162324339,8.34768174868077,0.8364286302347981,0.21630410346702855,0.042009110795103555
César Azpilicueta,es ESP,DF,Chelsea,29,1989,35.9,2267,2838,79.9,40338,15485,37,111,33.3,1873,2139,87.6,357,588,60.7,6,5.7,0.3,43,147,60,28,288,2838,2436,402,25,1,401,44,118,0,0,0,0,1720,516,602,280,2009,109,377,8,2267,8,40,39,96,3273,131,985,1550,877,98,2878,15,24,62.5,17,1,1947,7181,4096,2231,2095,93.9,24,13,79,2.2,71,2,1,2,3,7,0.2,6,1,0,0,0,0,2,29,6,20.7,0.81,0.17,0.07,0.33,0,0,0,2.7,2.7,0.09,-0.7,-0.7,36,36,2,6,0,0,1,0,0.06,0.17,0.22,0.06,0.22,5.7,0.07,0.16,0.23,0.07,0.23,18.3270209692419,14.6431765966117,0.765610317807084,0.2988770959841571,0.09597012359945922
John Egan,ie IRL,DF,Sheffield Utd,26,1992,35.4,1017,1212,83.9,24161,6506,10,20,50.0,603,671,89.9,404,521,77.5,0,0.1,-0.1,1,67,2,0,73,1212,1180,32,28,0,190,49,2,0,0,0,0,768,155,289,142,894,114,4,4,1017,2,30,2,6,1670,248,896,792,65,47,1638,3,3,100.0,3,1,803,4700,2585,861,831,96.5,8,1,6,0.17,3,0,0,3,0,1,0.03,0,0,0,1,0,0,2,28,5,17.9,0.79,0.14,0.07,0.4,0,0,0,2.3,2.3,0.08,-0.3,-0.3,36,36,2,0,0,0,5,1,0.06,0.0,0.06,0.06,0.06,0.1,0.06,0.0,0.07,0.06,0.07,3.88927132636309,3.75934515893459,0.847895316511099,0.27017894337994064,0.04756824685946631
Trent Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,2254,3147,71.6,49809,19995,33,120,27.5,1558,1821,85.6,663,1206,55.0,13,9.7,3.3,85,202,90,30,459,3147,2495,652,86,8,413,226,377,162,43,74,8,1472,567,1108,313,2330,83,404,7,2254,11,84,35,111,3520,105,848,1641,1246,63,2865,26,56,46.4,30,4,2108,9335,5698,2363,2230,94.4,36,22,151,4.28,91,50,3,5,1,24,0.68,14,7,0,2,0,1,4,44,13,29.5,1.25,0.37,0.09,0.31,12,0,0,2.9,2.9,0.07,1.1,1.1,38,35,4,13,0,0,5,0,0.11,0.37,0.48,0.11,0.48,9.7,0.08,0.27,0.36,0.08,0.36,20.6366883460432,13.5970493592322,0.673574488280389,0.41874415249649743,0.17627938388895498
Abdoulaye Doucouré,fr FRA,MF,Watford,26,1993,35.1,1302,1658,78.5,21942,4818,44,112,39.3,1029,1240,83.0,229,306,74.8,2,2.6,-0.6,33,119,31,4,110,1658,1645,13,8,2,348,24,26,1,0,0,0,1171,295,192,260,1283,68,0,6,1302,4,19,29,64,2065,74,421,1114,668,98,2053,49,78,62.8,51,2,1427,7288,3971,1619,1370,84.6,44,50,80,2.28,59,0,10,8,3,6,0.17,4,0,0,2,0,0,4,62,12,19.4,1.77,0.34,0.06,0.33,0,0,0,5.0,5.0,0.08,-1.0,-1.0,37,36,4,2,0,0,9,0,0.11,0.06,0.17,0.11,0.17,2.6,0.14,0.08,0.22,0.14,0.22,13.5404540766031,7.19361769407988,0.809921667748426,0.3817817765804896,0.10153651556934631
Jordan Ayew,gh GHA,FWMF,Crystal Palace,27,1991,35.0,686,838,81.9,9691,1890,38,68,55.9,569,654,87.0,79,116,68.1,2,1.9,0.1,26,42,22,0,49,838,801,37,2,2,247,10,25,1,0,0,0,588,154,96,50,684,31,12,16,686,3,9,18,32,1366,30,178,671,637,136,1331,75,117,64.1,78,4,1012,7697,3824,1682,956,56.8,99,108,66,1.89,43,0,11,1,11,7,0.2,3,0,3,0,1,0,9,56,24,42.9,1.6,0.69,0.16,0.38,0,0,0,6.3,6.3,0.11,2.7,2.7,37,37,9,2,0,0,6,0,0.26,0.06,0.31,0.26,0.31,1.9,0.18,0.05,0.24,0.18,0.24,11.7213300392032,3.87739226035774,0.791008161064982,0.3474446256275916,0.0898762705474474
Ashley Westwood,eng ENG,MF,Burnley,29,1990,35.0,1381,1854,74.5,28446,8336,31,60,51.7,940,1089,86.3,410,705,58.2,6,5.1,0.9,51,158,29,6,204,1854,1653,201,65,10,283,90,146,91,80,1,2,1004,324,526,102,1663,66,3,5,1381,11,39,19,36,2081,63,323,1284,546,19,1883,10,23,43.5,11,1,1202,4650,2058,1379,1266,91.8,17,16,93,2.66,60,29,0,2,1,9,0.26,3,5,0,0,0,1,2,13,3,23.1,0.37,0.09,0.15,0.67,2,0,0,1.2,1.2,0.09,0.8,0.8,35,35,2,6,0,0,9,0,0.06,0.17,0.23,0.06,0.23,5.1,0.03,0.14,0.18,0.03,0.18,9.22550824657083,6.14405468478799,0.707784770173115,0.36539288912813417,0.13282562068678871
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,30,1989,34.8,612,888,68.9,9371,2584,14,60,23.3,531,696,76.3,67,132,50.8,3,3.0,0.0,23,27,48,14,95,888,856,32,0,1,243,10,86,2,0,0,0,558,173,157,99,735,23,2,3,612,2,23,23,50,1248,29,158,502,673,168,1214,25,49,51.0,29,0,865,6213,3885,1528,939,61.5,58,39,54,1.55,38,0,7,4,5,9,0.26,6,0,0,2,1,0,22,90,40,44.4,2.58,1.15,0.22,0.5,2,2,2,15.7,14.2,0.16,6.3,5.8,36,35,22,3,2,2,3,1,0.63,0.09,0.72,0.57,0.66,3.0,0.45,0.09,0.54,0.41,0.49,19.9642820358276,5.33965747058392,0.720614677096868,0.590591237432992,0.12563078949128356
Andrew Robertson,sco SCO,DF,Liverpool,25,1994,34.6,2370,2928,80.9,43579,14588,24,77,31.2,1906,2158,88.3,440,693,63.5,12,7.3,4.7,61,175,65,27,335,2928,2536,392,49,5,319,85,204,43,7,26,1,1834,521,573,2332,186,93,300,2,2370,4,44,36,82,3265,100,684,1615,1221,95,2879,24,48,50.0,30,0,2164,11411,7066,2438,2276,93.4,39,20,108,3.12,89,13,5,1,0,20,0.58,16,1,3,0,0,0,2,20,6,30.0,0.58,0.17,0.1,0.33,0,0,0,1.6,1.6,0.08,0.4,0.4,36,34,2,12,0,0,2,0,0.06,0.35,0.41,0.06,0.41,7.3,0.05,0.21,0.26,0.05,0.26,20.395998314023,15.3126571886241,0.7474479161347349,0.2667809447193821,0.11617996901695044
João Moutinho,pt POR,MF,Wolves,32,1986,34.5,1614,2022,79.8,35525,8825,17,56,30.4,1063,1192,89.2,534,774,69.0,6,6.3,-0.3,80,154,33,12,242,2022,1697,325,148,7,336,134,216,166,35,73,12,1005,414,603,122,1781,92,5,6,1614,4,33,27,38,2294,48,421,1270,698,11,1973,21,29,72.4,23,0,1366,6150,3317,1512,1374,90.9,15,20,113,3.27,60,52,1,0,0,11,0.32,6,5,0,0,0,0,1,22,6,27.3,0.64,0.17,0.05,0.17,4,0,0,0.8,0.8,0.04,0.2,0.2,38,34,1,6,0,0,7,0,0.03,0.17,0.2,0.03,0.2,6.3,0.02,0.18,0.21,0.02,0.21,11.9326911084354,10.8586574085057,0.7061139141144309,0.2812123576688579,0.14799549679339802
Victor Lindelöf,se SWE,DF,Manchester Utd,25,1994,34.4,1764,2013,87.6,35557,11011,15,37,40.5,1280,1370,93.4,469,606,77.4,0,0.3,-0.3,4,83,1,0,95,2013,1955,58,46,2,276,30,2,0,0,0,0,1572,199,242,253,1606,76,12,14,1764,2,33,25,20,2308,344,1248,1132,70,11,2252,3,8,37.5,4,0,1466,8828,4914,1571,1556,99.0,7,4,17,0.49,15,1,0,1,0,2,0.06,2,0,0,0,0,0,1,6,1,16.7,0.17,0.03,0.17,1.0,0,0,0,0.4,0.4,0.07,0.6,0.6,35,35,1,0,0,0,6,0,0.03,0.0,0.03,0.03,0.03,0.3,0.01,0.01,0.02,0.01,0.02,8.87829983606935,8.86801265180111,0.833822796471064,0.18363358890678616,0.033318909986230216
Oliver Norwood,nir NIR,MF,Sheffield Utd,28,1991,34.3,1664,2148,77.5,38890,11288,22,48,45.8,1085,1206,90.0,557,894,62.3,1,4.2,-3.2,50,230,36,12,257,2148,1928,220,92,2,351,205,198,121,85,17,8,1122,368,658,76,1914,112,7,4,1664,12,71,24,30,2410,90,529,1388,567,3,2194,15,17,88.2,15,0,1368,4256,1838,1530,1479,96.7,10,14,79,2.3,43,30,0,3,1,6,0.17,2,2,0,0,0,2,1,16,5,31.3,0.47,0.15,0.0,0.0,4,1,1,1.5,0.7,0.05,-0.5,-0.7,38,37,1,1,1,1,8,0,0.03,0.03,0.06,0.0,0.03,4.2,0.04,0.12,0.17,0.02,0.14,9.9546035900712,9.05366420373321,0.738486580959804,0.31905270551507603,0.12047522403196817
James McArthur,sco SCO,MF,Crystal Palace,31,1987,34.3,1153,1474,78.2,20354,6398,33,87,37.9,901,1056,85.3,219,331,66.2,3,2.6,0.4,33,129,24,3,145,1474,1404,70,5,4,371,22,42,1,0,0,0,994,219,261,351,992,61,30,11,1153,3,34,23,60,1935,109,478,1038,519,104,1868,32,49,65.3,33,1,1249,6660,3185,1347,1178,87.5,42,44,60,1.75,51,0,3,2,4,9,0.26,5,0,0,1,3,0,0,29,6,20.7,0.84,0.17,0.0,0.0,0,0,0,2.4,2.4,0.08,-2.4,-2.4,37,37,0,3,0,0,6,0,0.0,0.09,0.09,0.0,0.09,2.6,0.07,0.08,0.15,0.07,0.15,7.98980387952179,4.76205041632056,0.768578022438369,0.3442406858439464,0.10145620405446537
Richarlison,br BRA,FW,Everton,22,1997,34.1,543,823,66.0,8881,2216,21,88,23.9,435,580,75.0,87,155,56.1,3,4.9,-1.9,31,32,27,2,72,823,800,23,2,4,257,11,56,2,0,1,0,498,200,125,185,542,43,7,7,543,2,28,24,75,1374,53,178,582,730,181,1352,66,106,62.3,70,2,996,7818,4541,1508,939,62.3,90,100,78,2.29,45,0,10,8,14,10,0.29,5,0,2,1,1,1,13,91,31,34.1,2.67,0.91,0.14,0.42,0,0,0,9.0,9.0,0.1,4.0,4.0,36,36,13,3,0,0,8,0,0.38,0.09,0.47,0.38,0.47,4.9,0.26,0.14,0.41,0.26,0.41,16.4597497824579,5.1983064673841,0.6910708627240539,0.610020134857236,0.14600260860832043
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,21,1997,34.1,1676,2064,81.2,24865,9480,41,116,35.3,1498,1705,87.9,137,243,56.4,4,3.0,1.0,26,105,20,10,183,2064,1680,384,16,0,299,16,102,0,0,0,0,1334,407,323,79,1558,43,368,2,1676,5,23,35,94,2560,104,740,1182,779,46,2182,59,91,64.8,60,3,1548,8340,4975,1570,1456,92.7,26,43,47,1.38,40,2,5,0,0,6,0.18,5,0,1,0,0,0,0,9,1,11.1,0.26,0.03,0.0,0.0,0,0,0,0.9,0.9,0.1,-0.9,-0.9,35,34,0,4,0,0,8,0,0.0,0.12,0.12,0.0,0.12,3.0,0.03,0.09,0.12,0.03,0.12,14.1655797623098,11.5211686193943,0.7681011198430301,0.27120494011899043,0.07737628996984688
Jan Bednarek,pl POL,DF,Southampton,23,1996,34.0,1143,1434,79.7,23194,7622,12,30,40.0,829,954,86.9,302,450,67.1,1,0.1,0.9,2,66,2,0,73,1434,1371,63,28,1,177,25,1,0,0,0,0,906,153,375,224,975,140,34,4,1143,3,26,12,16,1939,260,947,1009,45,17,1878,2,2,100.0,2,0,896,3872,1855,966,953,98.7,5,1,13,0.38,11,0,0,1,1,1,0.03,0,0,0,1,0,0,1,7,1,14.3,0.21,0.03,0.14,1.0,0,0,0,0.9,0.9,0.13,0.1,0.1,34,34,1,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,0.1,0.03,0.0,0.03,0.03,0.03,4.88974864408374,4.87277108803392,0.857752554833687,0.30187604790854894,0.055513352130970806
Rúben Neves,pt POR,MF,Wolves,22,1997,34.0,1587,1974,80.4,38298,9144,11,32,34.4,953,1100,86.6,623,842,74.0,2,2.0,0.0,27,176,24,2,153,1974,1913,61,46,5,310,149,31,9,3,4,0,1133,346,495,157,1692,97,6,4,1587,4,46,21,24,2285,79,532,1449,395,4,2221,25,32,78.1,27,0,1495,5793,2766,1569,1500,95.6,11,11,59,1.74,50,1,3,4,1,3,0.09,2,0,0,1,0,0,2,62,10,16.1,1.83,0.29,0.03,0.2,7,0,0,1.7,1.7,0.03,0.3,0.3,38,35,2,2,0,0,9,0,0.06,0.06,0.12,0.06,0.12,2.0,0.05,0.06,0.11,0.05,0.11,13.9257946331054,11.2014619102702,0.813833892872497,0.3405266800445461,0.09008773931025546
Lucas Digne,fr FRA,DF,Everton,26,1993,33.7,1353,1946,69.5,25902,11352,15,82,18.3,1048,1287,81.4,290,577,50.3,7,5.7,1.3,70,97,42,24,302,1946,1407,539,64,3,294,72,270,108,53,39,8,809,438,699,1281,104,112,367,7,1353,6,33,35,90,2366,110,626,963,881,63,1827,25,43,58.1,27,2,1064,5744,3303,1288,1111,86.3,18,32,104,3.09,58,38,2,3,3,11,0.33,8,3,0,0,0,0,0,29,5,17.2,0.86,0.15,0.0,0.0,13,0,0,1.5,1.5,0.05,-1.5,-1.5,35,35,0,7,0,0,6,0,0.0,0.21,0.21,0.0,0.21,5.7,0.04,0.17,0.21,0.04,0.21,8.19732914306223,5.13240235671401,0.653052931334232,0.44513369907332523,0.1705975852116652
Jamie Vardy,eng ENG,FW,Leicester City,32,1987,33.7,314,462,68.0,4777,784,16,49,32.7,257,341,75.4,41,72,56.9,5,5.4,-0.4,28,14,17,5,32,462,403,59,0,2,97,9,33,0,0,0,0,275,100,87,82,301,37,5,7,314,0,10,12,28,734,28,37,305,423,187,671,25,44,56.8,28,1,402,3224,2002,1222,503,41.2,60,23,63,1.87,40,0,11,6,5,12,0.36,6,0,2,1,2,1,23,87,38,43.7,2.58,1.13,0.22,0.5,0,4,5,19.8,16.0,0.19,3.2,3.0,35,34,23,5,4,5,2,0,0.68,0.15,0.83,0.56,0.71,5.4,0.59,0.16,0.75,0.47,0.63,21.0266073122621,1.72434066608548,0.758305579160332,0.6166649945052323,0.14090395605873543
