Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Press,Pass Types_Sw,Pass Types_Crs,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Height_Ground,Height_Low,Height_High,Body Parts_Left,Body Parts_Right,Body Parts_Head,Body Parts_TI,Body Parts_Other,Outcomes_Cmp,Outcomes_Off,Outcomes_Out,Outcomes_Int,Outcomes_Blocks,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_#Pl,Dribbles_Megs,Carries_Carries,Carries_TotDist,Carries_PrgDist,Receiving_Targ,Receiving_Rec,Receiving_Rec%,Miscon,Dispos,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_Drib,SCA Types_Sh,SCA Types_Fld,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_Drib,GCA Types_Sh,GCA Types_Fld,GCA Types_OG,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Playing Time_MP,Playing Time_Starts,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,xGChain,xGBuildup,xPassing%,shot_chain%,key_pass_chain%
Naby Keïta,gn GUI,MF,Liverpool,24,1995,9.1,608,684,88.9,9688,2389,12,25,48.0,520,559,93.0,76,100,76.0,3,2.2,0.8,15,74,16,2,65,684,676,8,2,5,114,9,7,2,0,0,0,514,112,58,86,567,18,3,2,608,1,8,10,15,783,8,88,493,261,26,775,20,26,76.9,21,1,588,3545,2087,668,605,90.6,8,10,32,3.53,28,1,2,1,0,5,0.55,5,0,0,0,0,0,2,12,7,58.3,1.33,0.77,0.17,0.29,0,0,0,1.6,1.6,0.13,0.4,0.4,18,9,2,3,0,0,1,0,0.22,0.33,0.55,0.22,0.55,2.2,0.17,0.25,0.42,0.17,0.42,9.58845301903784,5.72976752184331,0.75834783727551,0.21084762237888977,0.09688059284710177
Glenn Murray,eng ENG,FW,Brighton,35,1983,8.9,116,177,65.5,1654,304,5,16,31.3,98,134,73.1,13,27,48.1,1,0.5,0.5,4,7,4,0,11,177,170,7,1,1,52,3,4,0,0,0,0,85,51,41,17,118,15,2,7,116,0,5,1,11,273,11,24,120,138,42,267,1,5,20.0,1,0,162,504,197,435,206,47.4,25,14,12,1.36,7,0,1,3,1,1,0.11,1,0,0,0,0,0,1,17,4,23.5,1.92,0.45,0.06,0.25,0,0,0,2.1,2.1,0.13,-1.1,-1.1,23,7,1,1,0,0,0,0,0.11,0.11,0.23,0.11,0.23,0.5,0.24,0.06,0.3,0.24,0.3,3.27479819674045,0.603656955063343,0.72602754040249,0.5986654640895924,0.12866608925462647
Eric García,es ESP,DF,Manchester City,18,2001,8.8,672,705,95.3,13842,3724,6,11,54.5,468,487,96.1,198,207,95.7,0,0.2,-0.2,2,42,1,1,41,705,698,7,6,0,50,17,1,0,0,0,0,641,29,35,63,625,11,1,1,672,1,3,2,4,785,61,325,489,18,3,778,7,7,100.0,7,0,611,2664,1456,645,637,98.8,1,1,3,0.34,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,1,50.0,0.23,0.11,0.0,0.0,0,0,0,0.6,0.6,0.31,-0.6,-0.6,13,8,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.07,0.02,0.09,0.07,0.09,4.96490088105202,4.96490088105202,0.8504165310548051,0.07050926429110027,0.010256807954166114
Yan Valery,fr FRA,DF,Southampton,20,1999,8.7,198,318,62.3,3316,1244,3,16,18.8,164,215,76.3,31,87,35.6,0,0.8,-0.8,2,6,2,1,41,318,222,96,2,0,65,7,12,0,0,0,0,121,84,113,14,181,15,94,1,198,0,20,7,16,455,28,139,189,151,10,361,12,25,48.0,13,0,207,1566,805,243,180,74.1,13,19,7,0.81,5,1,1,0,0,0,0.0,0,0,0,0,0,0,0,3,2,66.7,0.35,0.23,0.0,0.0,0,0,0,0.3,0.3,0.11,-0.3,-0.3,11,10,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.8,0.04,0.1,0.13,0.04,0.13,3.58954172767699,2.75390225835144,0.684860110852711,0.5501736159484198,0.11878254020325413
Dejan Lovren,hr CRO,DF,Liverpool,30,1989,8.6,530,603,87.9,11986,3512,1,5,20.0,346,370,93.5,183,228,80.3,1,0.3,0.7,1,43,4,0,34,603,587,16,15,1,64,16,1,0,0,0,0,411,80,112,114,433,41,1,1,530,0,12,3,5,730,75,354,407,22,13,715,1,1,100.0,1,0,436,2461,1420,489,486,99.4,2,1,5,0.58,5,0,0,0,0,2,0.23,2,0,0,0,0,0,0,5,1,20.0,0.58,0.12,0.0,0.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,10,9,0,1,0,0,1,0,0.0,0.12,0.12,0.0,0.12,0.3,0.04,0.04,0.07,0.04,0.07,3.0910934843123,3.0910934843123,0.909859510476872,0.18700439162661375,0.028657333277872343
Christian Fuchs,at AUT,DF,Leicester City,33,1986,8.6,510,630,81.0,9900,3725,6,17,35.3,397,435,91.3,107,178,60.1,0,0.1,-0.1,2,41,6,2,57,630,544,86,12,1,87,17,16,0,0,0,0,389,122,119,457,60,25,74,1,510,1,12,11,12,735,29,275,377,111,2,647,4,7,57.1,4,1,438,1859,851,482,465,96.5,5,1,7,0.82,7,0,0,0,0,3,0.35,3,0,0,0,0,0,0,5,1,20.0,0.58,0.12,0.0,0.0,2,0,0,0.2,0.2,0.04,-0.2,-0.2,11,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.01,0.03,0.02,0.03,4.19203007221222,4.11516776680946,0.788253588871273,0.285934977759023,0.05684003280766253
Sofiane Boufal,ma MAR,MFFW,Southampton,25,1993,8.5,247,325,76.0,3762,1066,5,15,33.3,210,255,82.4,32,55,58.2,2,2.7,-0.7,15,18,15,3,32,325,317,8,1,1,96,8,27,1,0,0,0,222,54,49,62,236,12,6,1,247,0,9,6,14,515,6,53,199,323,53,507,54,96,56.3,61,3,447,3838,2488,468,382,81.6,21,41,37,4.36,22,0,8,1,6,3,0.35,2,0,1,0,0,0,0,21,7,33.3,2.47,0.82,0.0,0.0,0,0,0,1.0,1.0,0.05,-1.0,-1.0,20,8,0,2,0,0,2,0,0.0,0.24,0.24,0.0,0.24,2.7,0.12,0.32,0.44,0.12,0.44,6.15028809849173,3.5498658278957,0.744453588666824,0.4187210796873313,0.14033938110545838
Juan Mata,es ESP,MFFW,Manchester Utd,31,1988,8.4,442,523,84.5,7006,1623,6,24,25.0,376,404,93.1,60,95,63.2,2,1.9,0.1,19,41,18,2,46,523,494,29,8,2,116,11,23,10,5,1,2,377,67,79,444,64,4,6,2,442,2,3,6,15,589,3,36,319,267,33,560,5,12,41.7,7,0,459,2238,1121,605,489,80.8,10,12,38,4.51,31,3,1,2,1,2,0.24,2,0,0,0,0,0,0,9,1,11.1,1.07,0.12,0.0,0.0,2,0,0,1.2,1.2,0.13,-1.2,-1.2,19,8,0,2,0,0,1,0,0.0,0.24,0.24,0.0,0.24,1.9,0.14,0.23,0.37,0.14,0.37,4.74943391606212,3.05750958807766,0.8138195971910931,0.24471184221194586,0.12533805508537826
Andre Gray,eng ENG,FW,Watford,28,1991,8.4,102,155,65.8,1520,341,6,19,31.6,83,115,72.2,13,21,61.9,0,1.6,-1.6,8,8,6,1,10,155,147,8,0,2,55,2,5,0,0,0,0,96,41,18,33,101,8,0,5,102,0,4,6,16,239,4,10,84,156,44,231,6,13,46.2,7,1,160,736,310,391,181,46.3,29,19,14,1.67,11,0,1,2,0,1,0.12,0,0,0,1,0,0,2,19,6,31.6,2.26,0.72,0.11,0.33,0,0,0,2.9,2.9,0.15,-0.9,-0.9,23,7,2,0,0,0,1,0,0.24,0.0,0.24,0.24,0.24,1.6,0.35,0.19,0.54,0.35,0.54,4.64888027869165,0.297836739569902,0.7369384293819989,0.6173746115267056,0.15229703942610726
Ibrahim Amadou,fr FRA,DFMF,Norwich City,26,1993,8.4,310,361,85.9,6360,1790,2,6,33.3,219,244,89.8,89,111,80.2,0,0.0,0.0,1,14,1,0,11,361,354,7,4,0,68,5,1,0,0,0,0,285,35,41,23,314,17,2,1,310,1,4,7,5,470,107,329,143,14,4,464,2,3,66.7,2,0,253,1003,474,297,289,97.3,1,1,1,0.12,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,6,1,16.7,0.71,0.12,0.0,0.0,0,0,0,1.0,1.0,0.16,-1.0,-1.0,11,8,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,1.24645482003689,1.15098229050636,0.8679948310339389,0.24100493337817475,0.038738379661906686
